Sex,BUU_CET_Score,Listening,Reading,CEFR_Level
Male,20,11,9,A1
Female,31,15,16,A1
Male,32,15,15,A2+ ~ B1
Female,32,14,18,A2 ~ A2+
Male,51,27,24,B1 ~ B1+
Female,17,14,14,B1 ~ B1+
Male,20,10,10,B1 ~ B1+
Female,32,21,11,A2 ~ A2+
Male,37,15,22,A2 ~ A2+
Male,20,14,6,A2+ ~ B1
Male,35,16,19,A2 ~ A2+
Female,30,13,17,A2 ~ A2+
Female,33,15,18,A2 ~ A2+
Male,31,16,15,A2+ ~ B1
Female,19,8,11,A2 ~ A2+
Male,32,15,17,A2 ~ A2+
Female,34,18,16,A2 ~ A2+
Male,27,14,13,A2 ~ A2+
Female,20,12,8,A1
Female,30,15,15,A2 ~ A2+
Male,27,12,15,A2 ~ A2+
Male,34,18,16,A2 ~ A2+
Male,32,16,16,A2 ~ A2+
Female,20,13,7,A1
Female,24,9,15,A2 ~ A2+
Male,42,22,20,A2+ ~ B1
Male,45,24,21,A2+ ~ B1
Male,48,20,28,A2+ ~ B1
Male,39,20,19,A2 ~ A2+
Female,55,27,28,B1 ~ B1+
Male,49,24,25,A2+ ~ B1
Female,57,28,29,B1 ~ B1+
Female,47,25,22,B1 ~ B1+
Female,15,8,7,A1
Female,35,18,17,A2 ~ A2+
Male,26,13,13,A2 ~ A2+
Female,18,10,8,A1
Male,41,20,21,B1 ~ B1+
Male,50,28,22,A2+ ~ B1
Female,23,11,12,A2 ~ A2+
Female,38,17,21,A2 ~ A2+
Male,26,10,16,A2 ~ A2+
Male,47,22,25,A2+ ~ B1
Female,33,14,19,A2 ~ A2+
Female,35,14,21,A2 ~ A2+
Female,26,13,13,A2+ ~ B1
Female,60,30,30,A1
Female,21,13,8,A2 ~ A2+
Male,31,16,15,B1 ~ B1+
Female,46,25,21,A2+ ~ B1
Female,26,12,14,A2 ~ A2+
Female,52,23,29,B1 ~ B1+
Female,18,7,11,B1 ~ B1+
Female,39,19,20,A2 ~ A2+
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
